Model_Name,Checkpoint_Path,Status,Error_Message,Overall_Accuracy,Total_Samples,Total_Correct,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_0_Support,Class_1_Support,Class_2_Support,Class_0_Correct,Class_1_Correct,Class_2_Correct,Confusion_Matrix_00,Confusion_Matrix_01,Confusion_Matrix_02,Confusion_Matrix_10,Confusion_Matrix_11,Confusion_Matrix_12,Confusion_Matrix_20,Confusion_Matrix_21,Confusion_Matrix_22,Precision_Class_0,Precision_Class_1,Precision_Class_2,Recall_Class_0,Recall_Class_1,Recall_Class_2,F1_Score_Class_0,F1_Score_Class_1,F1_Score_Class_2,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_429_acc_0.7961,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_429_acc_0.7961.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_246_acc_0.6612,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_246_acc_0.6612.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_362_acc_0.747_c0.670.710.89,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_362_acc_0.747_c0.670.710.89.ckpt,SUCCESS,,0.583333333,12,7,1,0.5,0.5,2,8,2,2,4,1,2,0,0,4,4,0,0,1,1,0.333333333,0.8,1,1,0.5,0.5,0.5,0.615384615,0.666666667,0.711111111,0.666666667,0.594017094,0.755555556,0.583333333,0.604700855
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_448_acc_0.743_c0.670.680.91,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_448_acc_0.743_c0.670.680.91.ckpt,SUCCESS,,0.583333333,12,7,1,0.5,0.5,2,8,2,2,4,1,2,0,0,4,4,0,0,1,1,0.333333333,0.8,1,1,0.5,0.5,0.5,0.615384615,0.666666667,0.711111111,0.666666667,0.594017094,0.755555556,0.583333333,0.604700855
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_367_acc_0.691_c0.660.670.76,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_367_acc_0.691_c0.660.670.76.ckpt,SUCCESS,,0.583333333,12,7,1,0.5,0.5,2,8,2,2,4,1,2,0,0,4,4,0,0,1,1,0.333333333,0.8,1,1,0.5,0.5,0.5,0.615384615,0.666666667,0.711111111,0.666666667,0.594017094,0.755555556,0.583333333,0.604700855
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_265_acc_0.7105,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_265_acc_0.7105.ckpt,SUCCESS,,0.5,12,6,0,0.625,0.5,2,8,2,0,5,1,0,2,0,3,5,0,0,1,1,0,0.625,1,0,0.625,0.5,0,0.625,0.666666667,0.541666667,0.375,0.430555556,0.583333333,0.5,0.527777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_model.ckpt-460,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\model.ckpt-460,SUCCESS,,0.5,12,6,0,0.625,0.5,2,8,2,0,5,1,0,2,0,3,5,0,0,1,1,0,0.625,1,0,0.625,0.5,0,0.625,0.666666667,0.541666667,0.375,0.430555556,0.583333333,0.5,0.527777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_265_acc_0.7105,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_265_acc_0.7105.ckpt,SUCCESS,,0.5,12,6,0,0.625,0.5,2,8,2,0,5,1,0,2,0,3,5,0,0,1,1,0,0.625,1,0,0.625,0.5,0,0.625,0.666666667,0.541666667,0.375,0.430555556,0.583333333,0.5,0.527777778
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_133_acc_0.6382,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_133_acc_0.6382.ckpt,SUCCESS,,0.5,12,6,0.5,0.5,0.5,2,8,2,1,4,1,1,1,0,4,4,0,0,1,1,0.2,0.666666667,1,0.5,0.5,0.5,0.285714286,0.571428571,0.666666667,0.622222222,0.5,0.507936508,0.644444444,0.5,0.53968254
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_182_acc_0.6414,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_182_acc_0.6414.ckpt,SUCCESS,,0.5,12,6,0.5,0.5,0.5,2,8,2,1,4,1,1,1,0,3,4,1,0,1,1,0.25,0.666666667,0.5,0.5,0.5,0.5,0.333333333,0.571428571,0.5,0.472222222,0.5,0.468253968,0.569444444,0.5,0.51984127
